Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Code postal (de la commune principale de déroulement),Code Insee commune,Code Insee EPCI,Libellé EPCI,Numéro de voie,"Type de voie (rue, Avenue, boulevard, etc.)",Nom de la voie,Adresse postale,Complément d'adresse (facultatif),Site internet du festival,Adresse e-mail,Décennie de création du festival,Année de création du festival,Discipline dominante,Sous-catégorie spectacle vivant,Sous-catégorie musique,Sous-catégorie Musique CNM,Sous-catégorie cinéma et audiovisuel,Sous-catégorie arts visuels et arts numériques,Sous-catégorie livre et littérature,Période principale de déroulement du festival,Identifiant Agence A,Identifiant,Géocodage xy,identifiant CNM
Festival Libres regards,Interrégionale,Bourgogne-Franche-Comté,Doubs,Montbéliard,25200,25388,200065647,CA Pays de Montbéliard Agglomération,,,,,,http://festivallibresregards.com,festivallibresregards@laposte.net,2010 et après,2010,"Cinéma, audiovisuel",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25388_3998,"47.5155169816, 6.79148147353",
Swamp Fest,Intercommunale,Bourgogne-Franche-Comté,Doubs,Thise,25220,25560,242500361,CU Grand Besançon Métropole,,,,,,https://swamp-fest.com/infos-pratiques/,,2010 et après,2018,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25560_6555,"47.2862704749, 6.08224495009",
Diversité,Régionale,Bourgogne-Franche-Comté,Doubs,Montbéliard,25200,25388,200065647,CA Pays de Montbéliard Agglomération,2,Rue,Mermoz,2 Rue Mermoz,,http://www.centre-image.org/index.php/festival-diversite,sacha.marjanovic@centre-image.org,2010 et après,2011,"Cinéma, audiovisuel",,,,"Documentaire, Fiction long métrage",,,Avant-saison (1er janvier - 20 juin),,FEST_25388_3994,"47.5155169816, 6.79148147353",
Livres dans la boucle,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,Place,de la Révolution,Place de la Révolution,,Livresdanslaboucle.fr,Communication@grandbesancon.fr,2010 et après,2016,"Livre, littérature",,,,,,Rentrée littéraire littérature generale,Après-saison (6 septembre - 31 décembre),,FEST_25056_778,"47.2553872249, 6.01948696494",
Rencontres & Racines,,Bourgogne-Franche-Comté,Doubs,Audincourt,25400,25031,200065647,CA Pays de Montbéliard Agglomération,1,allée,de la filature,1 allée de la filature,,https://rencontresetracines.audincourt.fr/,rencontresetracines@audincourt.fr,De 1980 à 1989,,Musique,,"Chanson ou variété française, Hip-hop, rap, slam, Musiques du monde, Musiques électroniques, techno, Pop, rock",07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_25031_452,"47.4811676376, 6.85493983157",661
Festival de musique classique dans la vallée de la Loue,,Bourgogne-Franche-Comté,Doubs,Ornans,25290,25434,200068070,CC Loue-Lison,,,,,,,katellracine@gmail.com,2010 et après,2019,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_25434_4560,"47.0978221604, 6.15005274633",
Jazz et musique improvisée en Franche-Comté,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,,http://www.aspro-impro.fr/,,De 1980 à 1989,1982,Musique,,"Jazz, blues et musiques improvisées",,,,,Saison (21 juin - 5 septembre),,FEST_25056_772,"47.2553872249, 6.01948696494",
Jour de danse,Transfrontalière,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,8,Avenue,de Chardonnet,8 Avenue de Chardonnet,,http://joursdedanse.compagnie-pernette.com,karine.dolon@compagnie-pernette.com,2010 et après,2010,Spectacle vivant,Danse,,,,,,Saison (21 juin - 5 septembre),,FEST_25056_773,"47.2553872249, 6.01948696494",
Festival du Nez rouge,,Bourgogne-Franche-Comté,Doubs,Montbéliard,25200,25388,200065647,CA Pays de Montbéliard Agglomération,,,,,,http://clownsdelachiffogne.fr,clownschiffogne@gmail.com,De 1990 à 1999,1995,Spectacle vivant,Clown,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25388_3997,"47.5155169816, 6.79148147353",
Détonation,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,4,Avenue,de chardonnet,4 Avenue de chardonnet,,https://detonation-festival.com/,info@larodia.com,2010 et après,2015,Musique,,"Chanson ou variété française, Hip-hop, rap, slam, Métal, hard rock, Musiques du monde, Musiques électroniques, techno, Pop, rock",02- Musiques amplifiées ou électroniques,,,,Après-saison (6 septembre - 31 décembre),,FEST_25056_759,"47.2553872249, 6.01948696494",1416
Festival des Nuits de Joux,Régionale,Bourgogne-Franche-Comté,Doubs,La Cluse-et-Mijoux,25300,25157,242500338,CC du Grand Pontarlier,,,,,Château de Joux,nuitsdejoux.fr,cahd-25@orange.fr,Avant 1980,1974,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_25157_2744,"46.8683471293, 6.39291993544",
"Festi'diff, le festival des différences",,Bourgogne-Franche-Comté,Doubs,Pontarlier,25300,25462,242500338,CC du Grand Pontarlier,,,,,,https://www.festi-diff.fr/,,2010 et après,2017,Musique,,,07- Musiques actuelles sans distinction,,,,Après-saison (6 septembre - 31 décembre),,FEST_25462_5138,"46.9119730882, 6.38914602031",3885
Fête du livre jeunesse de Palente,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,,,mjcpalente.culture@gmail.com // mjcpalente.secretariat@gmail.com,De 1990 à 1999,1993,"Livre, littérature",,,,,,,Saison (21 juin - 5 septembre),,FEST_25056_771,"47.2553872249, 6.01948696494",
Celtivales,Interrégionale,Bourgogne-Franche-Comté,Doubs,Pierrefontaine-les-Varans,25510,25453,200072056,CC Porte du Jura,,Rue,Pergaud,Rue Pergaud,,www.celtivales.com,contact@celtivales.com,De 1990 à 1999,1997,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25453_5026,"47.2194158941, 6.5503792835",
Bien urbain,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",,,,,,,,2010 et après,2012,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_25056_757,"47.2553872249, 6.01948696494",
Parlemonde,,Bourgogne-Franche-Comté,Doubs,Montbéliard,25200,25388,200065647,CA Pays de Montbéliard Agglomération,,,,,,http://parlemonde.mascenenationale-creative.com/,,2010 et après,2018,Pluridisciplinaire,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25388_4001,"47.5155169816, 6.79148147353",
Festival de Besançon/Montfaucon,Transfrontalière,Bourgogne-Franche-Comté,Doubs,Besançon,25660,25056,242500361,CU Grand Besançon Métropole,11,Chemin,des granges,11 Chemin  des granges,,festivaldemontfaucon.com,com.festivalmontfaucon@gmail.com,De 2000 à 2009,2006,Musique,,"Musique classique, Musique contemporaine, Musiques du monde, Musiques traditionnelles",,,,,Avant-saison (1er janvier - 20 juin),,FEST_25056_763,"47.2553872249, 6.01948696494",
Festival de l'eau vive,,Bourgogne-Franche-Comté,Doubs,Bannans,25560,25041,242504496,CC du Plateau de Frasne et du Val de Drugeon (CFD),,,,,,,pas.andre@wanadoo.fr,De 2000 à 2009,2006,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_25041_605,"46.899147439, 6.23727233424",
Festival international de musique de Besançon Franche-Comté,Régionale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,Place,du Théâtre,Place du Théâtre,,festival-besancon.com,contact@festival-besancon.com,Avant 1980,1948,Musique,,"Jazz, blues, Musique classique, Musique contemporaine, Musiques du monde","11- Musique classique, lyrique, contemporaine, autres",,,,Après-saison (6 septembre - 31 décembre),,FEST_25056_767,"47.2553872249, 6.01948696494",611
Le merveilleux festival,,Bourgogne-Franche-Comté,Doubs,Valentigney,25700,25580,200065647,CA Pays de Montbéliard Agglomération,5,Rue,rue des Ecoles,5 Rue rue des Ecoles,Maison des Contes en Est,www.alalueurdescontes.fr,alalueurdescontes@laposte.net,2010 et après,2019,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25580_6894,"47.4647367767, 6.82570788244",
Festival de musique Besançon Franche Comté,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,,https://festival-besancon.com,,avant 1980,1948,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25056_765,"47.2553872249, 6.01948696494",
Eurocuivres,Intercommunale,Bourgogne-Franche-Comté,Doubs,Montbéliard,25200,25388,200065647,CA Pays de Montbéliard Agglomération,1,Rue,du Château,1 Rue du Château,,www.eurocuivres.com,www.eurocuivres.com,De 1990 à 1999,1999,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_25388_3995,"47.5155169816, 6.79148147353",
Coming of Rock,Intercommunale,Bourgogne-Franche-Comté,Doubs,Le Russey,25210,25512,242504355,CC du Plateau de Russey,7,Rue,Général-Zdrodjewski,7 Rue Général-Zdrodjewski,,http://www.info-festival.net/festivals/coming-rock,,2010 et après,2015,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_25512_3180,"47.1549185878, 6.73440290446",
Fête de la BD d'Audincourt,,Bourgogne-Franche-Comté,Doubs,Audincourt,25400,25031,200065647,CA Pays de Montbéliard Agglomération,,,,,,https://fetedelabd.audincourt.fr,c.nommay@audincourt.fr,de 1980 à 1989,1985,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25031_449,"47.4811676376, 6.85493983157",
Les nuits de Joux,Régionale,Bourgogne-Franche-Comté,Doubs,Joux,25300,25609,242500338,CC du Grand Pontarlier,2,Rue,Jeanne-d’Arc,2 Rue Jeanne-d’Arc,,https://nuitsdejoux.fr/,cahd-25@orange.fr,Avant 1980,1974,Spectacle vivant,Théâtre,,,,,,Saison (21 juin - 5 septembre),,FEST_25609_2676,"46.886228497, 6.44711021726",
Festival Sarbacane,,Bourgogne-Franche-Comté,Doubs,Rochejean,25370,25494,200069565,CC des Lacs et Montagnes du Haut-Doubs,14,Rue,Saint-Jean,14 Rue Saint-Jean,,www.sarbacane-theatre.com,infos@sarbacane-theatre.com,De 2000 à 2009,2003,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25494_5466,"46.7262310922, 6.304807031",
Paroles nomades,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,Place des Nations,http://www.boutiqueduconte.com/paroles_nomades.html,,2010 et après,2014,Spectacle vivant,Arts du conte,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25056_782,"47.2553872249, 6.01948696494",
Mon baby blues festival,Intercommunale,Bourgogne-Franche-Comté,Doubs,Montbéliard,25200,25388,200065647,CA Pays de Montbéliard Agglomération,1,Avenue,Gambetta,1 Avenue Gambetta,BP444,https://www.monbabybluesfestival.com/,adesmoles@gmail.com,2010 et après,2015,Musique,,"Jazz, blues","03- Jazz, blues et musiques improvisées",,,,Saison (21 juin - 5 septembre),,FEST_25388_4000,"47.5155169816, 6.79148147353",2627
Festival 1895 minutes,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,30,Avenue,de l’Observatoire,30 Avenue de l’Observatoire,,https://www.facebook.com/festival1895minutes,festival1895minutes@gmail.fr,2010 et après,2019,"Cinéma, audiovisuel",,,,Court métrage,,,Avant-saison (1er janvier - 20 juin),,FEST_25056_762,"47.2553872249, 6.01948696494",
Festival lyrique de Montperreux,Départementale,Bourgogne-Franche-Comté,Doubs,Montperreux,25160,25405,200069565,CC des Lacs et Montagnes du Haut-Doubs,1,Rue,du Comice,1 Rue du Comice,,https://festival-montperreux.org/nous-contacter/,festival.lyrique@gmail.com,De 2000 à 2009,2009,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_25405_4124,"46.8204797871, 6.34452081973",
Hiboux et le Chien blanc,Intercommunale,Bourgogne-Franche-Comté,Doubs,Hyémondans,25250,25311,200068294,CC des Deux Vallées Vertes,,,,,,http://hiboux-chien-blanc.weebly.com,,2010 et après,2012,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_25311_2597,"47.3809106703, 6.63896940193",
Pop Cornes Festival,,Bourgogne-Franche-Comté,Doubs,Le Russey,25210,25512,242504355,CC du Plateau de Russey,1,Rue,Les Butiques,1 Rue Les Butiques,,www.pop-cornes-festival.fr,infos@pop-cornes-festival.fr,2010 et après,2019,Musique,,"Chanson ou variété française, Hip-hop, rap, slam, Métal, hard rock, Musique contemporaine, Musiques du monde, Musiques électroniques, techno, Pop, rock, RnB",,,,,Avant-saison (1er janvier - 20 juin),,FEST_25512_3181,"47.1549185878, 6.73440290446",
Paroles en marge,Intercommunale,Bourgogne-Franche-Comté,Doubs,Pontarlier,25300,25462,242500338,CC du Grand Pontarlier,1,Rue,La Halle,1 Rue La Halle,,www.theatrouvert.fr,ass.theatrouvert@gmail.com,De 1980 à 1989,,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25462_5142,"46.9119730882, 6.38914602031",
Les Petites Fugues,Régionale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,25,Rue,Gambetta,25 Rue Gambetta,,http://www.lespetitesfugues.fr/,administration@livre-bourgognefranchecomte.fr,De 2000 à 2009,2002,"Livre, littérature",,,,,,"Fiction (roman, théâtre, etc.), Poésie",Après-saison (6 septembre - 31 décembre),,FEST_25056_777,"47.2553872249, 6.01948696494",
Festival Lumières d'Afrique,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,,http://www.lumieresdafrique.com,contact@lumieresdafrique.com,De 1990 à 1999,1996,"Cinéma, audiovisuel",,,,"Fiction long métrage, Court métrage, Documentaire",,,Après-saison (6 septembre - 31 décembre),,FEST_25056_769,"47.2553872249, 6.01948696494",
Fête du livre jeunesse de Morteau,,Bourgogne-Franche-Comté,Doubs,Morteau,25500,25411,242504116,CC du Val de Morteau,,,,,,,"mediatheque@morteau.org, patricia.roussel-galle@morteau.org",De 1990 à 1999,1997,"Livre, littérature",,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25411_4183,"47.063408704, 6.58305657113",
La Rodia,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,,https://larodia.com,,2010 et après,2011,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25056_775,"47.2553872249, 6.01948696494",
Festi'Lav,Intercommunale,Bourgogne-Franche-Comté,Doubs,Lavernay,25170,25332,200041887,CC du Val Marnaysien,14,Rue,De l’église,14 Rue De l’église,,https://www.lesviretamisdelavernay.fr/festival/,,2010 et après,2017,Musique,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25332_3033,"47.2443013496, 5.81882619384",
Festival de la Paille,,Bourgogne-Franche-Comté,Doubs,Métabief,25370,25380,200069565,CC des Lacs et Montagnes du Haut-Doubs,,Place,Xavier Authier,Place Xavier Authier,,https://www.festivalpaille.fr/,info@festivalpaille.fr,De 2000 à 2009,2000,Musique,,"Hip-hop, rap, slam, Musiques électroniques, techno, Pop, rock",07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_25380_3872,"46.7648830862, 6.35324497812",1813
Back To the Trees,Régionale,Bourgogne-Franche-Comté,Doubs,Saint-Vit,25410,25527,247103864,CC du Canton de Semur-en-Brionnais,,,,,,http://www.backtothetrees.net/fr/,backtothetrees@hotmail.com,2010 et après,2015,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_25527_6190,"47.1854090254, 5.82031300598",
"Festival des littératures policières, noires et sociales",,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,2,Place,du Théâtre,2 Place du Théâtre,1 rue du Porteau,festival des littératures policières noires et sociales,thierry.loew25@gmail.com,De 1990 à 1999,1998,"Livre, littérature",,,,,,"Bande dessinée, comics, manga, Polar",Avant-saison (1er janvier - 20 juin),,FEST_25056_766,"47.2553872249, 6.01948696494",
Festival international des langues et cultures du monde,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,36 A,Avenue,de l'Observatoire,36 A Avenue de l'Observatoire,,www.festival-fil.com,festival.lefil@gmail.com,De 1980 à 1989,1986,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25056_768,"47.2553872249, 6.01948696494",
Jours de danse,Régionale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,10,Avenue,de Chardonnet,10 Avenue de Chardonnet,,http://joursdedanse.compagnie-pernette.com/,info@compagnie-pernette.com,2010 et après,2010,Spectacle vivant,,,,,,,Saison (21 juin - 5 septembre),,FEST_25056_774,"47.2553872249, 6.01948696494",
Festival de Caves,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,10,Avenue,de Chardonnet,10 Avenue de Chardonnet,Festival de caves -la friche artistique -10 avenue de Chardonnet,https://www.festivaldecaves.fr/,festivaldecaves2@gmail.com,2010 et après,2014,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25056_764,"47.2553872249, 6.01948696494",
"Musiques à Saint-Hipp, et convoi culturel",,Bourgogne-Franche-Comté,Doubs,Saint-Hippolyte,25519,25519,200023075,CC du Pays de Maîche,,,,,,,festivalsainthipp@orange.fr,De 2000 à 2009,2006,Musique,,,,,,,Saison (21 juin - 5 septembre),,FEST_25519_5910,"47.3121318128, 6.81240649339",
La caméra est dans le pré,Intercommunale,Bourgogne-Franche-Comté,Doubs,Dannemarie-sur-Crète,25410,25195,242500361,CU Grand Besançon Métropole,2,Rue,des Chanets,2 Rue des Chanets,,https://www.ecranmobilebfc.org,,De 2000 à 2009,2001,"Cinéma, audiovisuel",,,,Fiction long métrage / Documentaire,,,Avant-saison (1er janvier - 20 juin),,FEST_25195_1920,"47.2062426754, 5.86495393288",
Lunatic festival,,Bourgogne-Franche-Comté,Doubs,Quingey,25440,25475,200068070,CC Loue-Lison,6,Route,d'Ornans,6 Route d'Ornans,6 route d'Ornans,https://www.associationmallunee.com/lunatic-festival,asso.mal.lunee@gmail.com,2010 et après,2014,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25475_5278,"47.1025398446, 5.88098542141",
Un vent de hip hop,,Bourgogne-Franche-Comté,Doubs,Morteau,25500,25411,242504116,CC du Val de Morteau,,,,,,,celine.chatelain@morteau.org,De 2000 à 2009,2007,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25411_4184,"47.063408704, 6.58305657113",
Petites fugues littéraires en Franche-Comté,Régionale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,25,Rue,Gambetta,25 Rue Gambetta,Agence du livre et de la lecture,https://www.livre-bourgognefranchecomte.fr/,administration@livre-bourgognefranchecomte.fr,De 2000 à 2009,2001,"Livre, littérature",,,,,,,Saison (21 juin - 5 septembre),,FEST_25056_783,"47.2553872249, 6.01948696494",
Salon du jeune lecteur Livres complices du Pays de Montbéliard,Départementale,Bourgogne-Franche-Comté,Doubs,Valentigney,25700,25580,200065647,CA Pays de Montbéliard Agglomération,,Rue,des Carrières,Rue des Carrières,,www.adec-paysdemontbeliard.fr,adec.livrescomplices@gmail.com,De 1980 à 1989,,"Livre, littérature",,,,,,Littérature jeunesse,Après-saison (6 septembre - 31 décembre),,FEST_25580_6895,"47.4647367767, 6.82570788244",
Festival Pont des arts,Régionale,Bourgogne-Franche-Comté,Doubs,Pontarlier,25300,25462,242500338,CC du Grand Pontarlier,4,Place,Jules Pagnier,4 Place Jules Pagnier,,www.festivalpontdesarts.com,programmation@sarbacane-theatre.com,2010 et après,2012,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25462_5140,"46.9119730882, 6.38914602031",
Les littératures étrangères,,Bourgogne-Franche-Comté,Doubs,Audincourt,25400,25031,200065647,CA Pays de Montbéliard Agglomération,,,,,,,bibliotheque@audincourt.fr // c.nommay@audincourt.fr,De 1990 à 1999,1993,"Livre, littérature",,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25031_451,"47.4811676376, 6.85493983157",
Festival des quatre saisons,Intercommunale,Bourgogne-Franche-Comté,Doubs,Montbéliard,25200,25388,200065647,CA Pays de Montbéliard Agglomération,6,Avenue,des Alliés,6 Avenue des Alliés,,https://www.montbeliard.fr/mes-sorties-mes-activites/festivals/quatresaisonsfestival.html,,2010 et après,2007,Pluridisciplinaire,,,,,,,Saison (21 juin - 5 septembre),,FEST_25388_3996,"47.5155169816, 6.79148147353",
Ebulli'Son,,Bourgogne-Franche-Comté,Doubs,Montfaucon,25660,25395,242500361,CU Grand Besançon Métropole,1,Rue,de la Comtesse Henriette,1 Rue de la Comtesse Henriette,10,https://ebullison.fr/,ebullisonfestival@gmail.com,2010 et après,2018,Musique,,"Chanson ou variété française, Jazz, blues, Hip-hop, rap, slam, Métal, hard rock, Musique contemporaine, Pop, rock, Variétés internationales",,,,,Saison (21 juin - 5 septembre),,FEST_25395_4033,"47.2418571296, 6.08660837587",
"Bien Urbain, art dans (et avec) l'espace public",Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,200072825,CC Mirebellois et Fontenois,10,Avenue,de Chardonnet,10 Avenue de Chardonnet,,www.bien-urbain.fr,contact@bien-urbain.fr,2010 et après,2011,"Arts visuels, arts numériques",,,,,"Arts numériques, Installation, Peinture, Performance, Sculpture, Street art",,Avant-saison (1er janvier - 20 juin),,FEST_25056_758,"47.2553872249, 6.01948696494",
Latino Corazon,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,Cinéma 2Scènes Kursaal Art et essai,https://les2scenes.fr/cinema/festival-latino-corazon,,De 2000 à 2009,2009,"Cinéma, audiovisuel",,,,Fiction long métrage / FESTIVAL DES CINEMAS HISPANO AMERICAIN,,,Après-saison (6 septembre - 31 décembre),,FEST_25056_776,"47.2553872249, 6.01948696494",
Festival de musique du Haut-Doubs,Départementale,Bourgogne-Franche-Comté,Doubs,Morteau,25500,25411,242504116,CC du Val de Morteau,1,Place,de la Halle,1 Place de la Halle,Théâtre,ensemble-galitzine.fr,annemercier7@gmail.com,De 1990 à 1999,1990,Musique,,Musique classique,,,,,Saison (21 juin - 5 septembre),,FEST_25411_4182,"47.063408704, 6.58305657113",
La Guerre Du Son,Départementale,Bourgogne-Franche-Comté,Doubs,Landresse,25350,25325,242504181,CC des Portes du Haut-Doubs,50,Rue,grande,50 Rue grande,,www.laguerreduson.com,,De 2000 à 2009,2002,Musique,,,02- Musiques amplifiées ou électroniques,,,,Saison (21 juin - 5 septembre),,FEST_25325_2950,"47.2603830516, 6.48915118252",667
Mardis des rives,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,9 communes du Grand Besançon dont Besançon,https://www.mardisdesrives.fr/,,2010 et après,2013,Musique,,"Chanson ou variété française Musiques du monde Pop, rock Jazz, blues",07- Musiques actuelles sans distinction,,,,Saison (21 juin - 5 septembre),,FEST_25056_779,"47.2553872249, 6.01948696494",5204
Haut Doubs festival,Intercommunale,Bourgogne-Franche-Comté,Doubs,Pontarlier,25301,25462,242500338,CC du Grand Pontarlier,,,,,BP47,www.haut-doubs-festival.com,festivest@free.fr,De 2000 à 2009,2005,Musique,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25462_5141,"46.9119730882, 6.38914602031",
Musiques libres,,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,,,,,,http://www.aspro-impro.fr/,,De 2000 à 2009,2001,Musique,,"Jazz, blues et musiques improvisées",,,,,Après-saison (6 septembre - 31 décembre),,FEST_25056_780,"47.2553872249, 6.01948696494",
Bocksons Festival,,Bourgogne-Franche-Comté,Doubs,Valentigney,25700,25580,200065647,CA Pays de Montbéliard Agglomération,80b,Rue,Villedieu,80b Rue Villedieu,Site des Longines,https://www.bocksons.com/,universval@gmail.com,2010 et après,,Musique,,"Métal, hard rock",02- Musiques amplifiées ou électroniques,,,,Avant-saison (1er janvier - 20 juin),,FEST_25580_6893,"47.4647367767, 6.82570788244",4144
Festival Serious,,Bourgogne-Franche-Comté,Doubs,Avanne-Aveney,25720,25036,242500361,CU Grand Besançon Métropole,52,Rue,St Vincent,52 Rue St Vincent,,www.theseriousroadtrip.org,tsrt_chb@yahoo.fr,De 2000 à 2009,2005,Spectacle vivant,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25036_502,"47.2013939319, 5.9554996988",
L'Annuelle,Intercommunale,Bourgogne-Franche-Comté,Doubs,Champlive,25360,25116,242504447,CC du Doubs Baumois,,,,,,http://artistesalacampagne.fr,artistesalacampagne@gmail.com,De 2000 à 2009,2001,Spectacle vivant,,,,,,,Avant-saison (1er janvier - 20 juin),,FEST_25116_1457,"47.2883174221, 6.24419443876",
Bloody week-end,,Bourgogne-Franche-Comté,Doubs,Audincourt,25400,25031,200070530,CC du Grand Autunois Morvan,,Allée,de la Filature,Allée de la Filature,,www.bloodyweekend.fr,Aurely2804@hotmail.fr,2010 et après,2010,"Cinéma, audiovisuel",,,,"Court métrage, Documentaire, Fiction long métrage, Film d'animation",,,Avant-saison (1er janvier - 20 juin),,FEST_25031_448,"47.4811676376, 6.85493983157",
Quand l'art contemporain dialogue avec les sites religieux,,Bourgogne-Franche-Comté,Doubs,La Cluse-et-Mijoux,25300,25157,242500338,CC du Grand Pontarlier,,,,,,https://artenchapelles.com/,cathyhrault@orange.fr,2010 et après,2016,"Arts visuels, arts numériques",,,,,,,Saison (21 juin - 5 septembre),,FEST_25157_2745,"46.8683471293, 6.39291993544",
Orgue en ville,Régionale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,1,Rue,de l'école,1 Rue de l'école,,www.orguenville.com,contact@orguenville.com,2010 et après,2009,Musique,,"Chanson ou variété française, Jazz, blues, Musique classique, Musique contemporaine, Musiques du monde","11- Musique classique, lyrique, contemporaine, autres",,,,Saison (21 juin - 5 septembre),,FEST_25056_781,"47.2553872249, 6.01948696494",2513
Festival Photographie Besançon,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,2,Place,du théâtre,2 Place du théâtre,,http://grain-dpixel.fr/info/category/festival/,presidence@grain-dpixel.fr,2010 et après,2017,"Arts visuels, arts numériques",,,,,Photographie,,Après-saison (6 septembre - 31 décembre),,FEST_25056_770,"47.2553872249, 6.01948696494",
Du bitume et des plumes,Intercommunale,Bourgogne-Franche-Comté,Doubs,Besançon,25000,25056,242500361,CU Grand Besançon Métropole,4,Faubourg,Tarragnoz,4 Faubourg Tarragnoz,,https://festivalbitumeplumes.fr/,festival.tarragnoz@gmail.com,2010 et après,2014,Pluridisciplinaire,,,,,,,Après-saison (6 septembre - 31 décembre),,FEST_25056_760,"47.2553872249, 6.01948696494",
